Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Stand Up Paddleboarding,2024-12-07 10:51:35,false,"Santa Barbara Stand Up Paddleboarding","2.11","123","00:35:20","91","118","0.3","16:46","7:54","0.0","919","71.6","No","00:04:50.4","3","77.0","00:25:19","00:35:26"
Stand Up Paddleboarding,2024-12-07 08:12:55,false,"Santa Barbara Stand Up Paddleboarding","7.68","566","01:27:50","123","156","2.1","11:26","7:24","0.0","3391","60.8","No","00:08:19.2","8","75.2","01:21:26","01:27:50"
Stand Up Paddleboarding,2024-11-17 09:45:44,false,"Santa Barbara Stand Up Paddleboarding","4.51","376","01:09:32","113","164","2.3","15:25","1:52","0.0","2384","64.4","No","00:08:11.5","5","75.2","01:06:24","01:09:32"
Stand Up Paddleboarding,2024-11-08 05:54:25,false,"Santa Barbara Stand Up Paddleboarding","3.72","316","00:59:55","113","143","1.0","16:06","5:29","0.0","1850","60.8","No","00:12:23","4","73.4","00:56:49","00:59:55"
Stand Up Paddleboarding,2024-09-29 08:30:57,false,"Santa Barbara Stand Up Paddleboarding","3.35","240","00:53:13","103","138","0.5","15:55","10:33","0.0","1624","68.0","No","00:06:07.7","4","71.6","00:50:54","00:53:13"
Stand Up Paddleboarding,2024-09-23 18:13:03,false,"Santa Barbara Stand Up Paddleboarding","1.57","124","00:30:57","94","137","0.4","19:42","3:14","0.0","678","66.2","No","00:12:03","2","73.4","00:25:37","00:30:57"
Stand Up Paddleboarding,2024-09-07 08:05:37,false,"Catalina Crossing 2024","32.37","1,860","05:30:22","117","175","3.2","10:12","2:46","0.0","10228","68.0","No","00:06:55.8","33","95.0","05:09:19","05:30:25"
Stand Up Paddleboarding,2024-09-04 17:49:52,false,"Santa Barbara Stand Up Paddleboarding","7.13","635","01:20:44","138","182","3.2","11:20","5:48","0.0","3172","68.0","No","00:01:53.1","8","84.2","01:13:36","01:20:44"
Stand Up Paddleboarding,2024-09-02 17:47:45,false,"Santa Barbara Stand Up Paddleboarding","9.33","769","01:41:36","140","178","3.4","10:53","6:12","0.0","4149","66.2","No","00:03:43.6","10","82.4","01:35:24","01:41:36"
Stand Up Paddleboarding,2024-08-31 07:09:32,false,"Santa Barbara Stand Up Paddleboarding","13.00","729","02:02:50","116","156","2.2","9:27","2:45","0.0","4427","62.6","No","00:06:45.5","13","77.0","01:55:26","02:25:25"
Stand Up Paddleboarding,2024-08-28 17:55:19,false,"Santa Barbara Stand Up Paddleboarding","8.15","576","01:27:36","124","158","2.1","10:45","6:53","0.0","3760","66.2","No","00:02:58.4","9","77.0","01:24:01","01:27:36"
Stand Up Paddleboarding,2024-08-26 17:53:14,false,"Santa Barbara Stand Up Paddleboarding","8.78","669","01:43:18","125","151","2.1","11:46","5:34","0.0","4036","64.4","No","00:09:40.7","9","82.4","01:35:03","01:43:18"
Stand Up Paddleboarding,2024-08-24 09:31:40,false,"Stand Up Paddleboarding","14.07","977","02:05:07","140","197","3.6","8:54","1:33","0.0","3382","71.6","No","00:00:41.8","15","84.2","01:59:00","02:05:07"
Stand Up Paddleboarding,2024-08-21 17:52:18,false,"Santa Barbara Stand Up Paddleboarding","5.58","599","01:08:55","148","179","3.4","12:21","2:52","0.0","2423","69.8","No","00:09:00.4","6","78.8","00:49:53","01:08:55"
Stand Up Paddleboarding,2024-08-19 17:41:35,false,"Santa Barbara Stand Up Paddleboarding","7.93","772","01:30:24","146","182","3.8","11:24","7:05","0.0","3519","68.0","No","00:09:17.9","8","77.0","01:07:42","01:30:24"
Stand Up Paddleboarding,2024-08-17 09:12:13,false,"Santa Barbara Stand Up Paddleboarding","16.35","1,520","02:54:37","151","178","3.7","10:41","6:44","0.0","7608","66.2","No","00:05:04.6","17","78.8","02:09:11","02:54:37"
Stand Up Paddleboarding,2024-08-14 17:44:26,false,"Santa Barbara Stand Up Paddleboarding","8.68","857","01:42:37","144","181","3.3","11:49","7:07","0.0","3974","68.0","No","00:09:32.1","9","75.2","01:12:53","01:42:37"
Stand Up Paddleboarding,2024-08-12 17:56:54,false,"Santa Barbara Stand Up Paddleboarding","7.61","676","01:25:25","140","167","3.0","11:13","7:08","0.0","3636","62.6","No","00:09:19.3","8","80.6","01:06:11","01:25:25"
Stand Up Paddleboarding,2024-08-10 09:07:58,false,"Stand Up Paddleboarding","8.87","1,035","01:23:30","172","186","4.1","9:25","1:23","0.0","4379","69.8","No","00:07:47.3","9","80.6","01:10:11","02:10:09"
Stand Up Paddleboarding,2024-08-05 17:46:00,false,"Santa Barbara Stand Up Paddleboarding","7.09","771","01:30:32","148","183","3.5","12:47","6:51","0.0","3144","60.8","No","00:01:24.6","8","80.6","01:07:16","01:30:32"
Stand Up Paddleboarding,2024-07-31 17:38:52,false,"Santa Barbara Stand Up Paddleboarding","6.33","734","01:23:27","148","189","3.9","13:12","7:41","0.0","3139","64.4","No","00:04:21.1","7","77.0","01:02:01","01:23:27"
Stand Up Paddleboarding,2024-07-29 17:45:51,false,"Santa Barbara Stand Up Paddleboarding","7.79","826","01:28:14","150","173","3.9","11:20","7:32","0.0","3707","62.6","No","00:09:54.1","8","75.2","01:06:53","01:28:14"
Stand Up Paddleboarding,2024-07-27 09:23:29,false,"Santa Barbara Stand Up Paddleboarding","9.01","892","01:37:08","150","184","3.8","10:47","1:56","0.0","3950","59.0","No","00:00:15.7","10","75.2","01:09:31","01:37:08"
Stand Up Paddleboarding,2024-07-27 08:23:36,false,"Santa Barbara Stand Up Paddleboarding","1.89","318","00:23:06","180","188","4.2","12:14","9:11","0.0","1227","66.2","No","00:10:20","2","69.8","00:16:54","00:25:52"
Stand Up Paddleboarding,2024-07-25 17:38:02,false,"Santa Barbara Stand Up Paddleboarding","1.54","195","00:26:06","127","155","2.0","16:56","5:07","0.0","793","69.8","No","00:10:21","2","78.8","00:20:20","00:26:06"
Stand Up Paddleboarding,2024-07-24 17:43:20,false,"Santa Barbara Stand Up Paddleboarding","6.61","791","01:25:26","150","187","3.9","12:55","6:17","0.0","3289","62.6","No","00:09:24.3","7","77.0","01:03:43","01:25:26"
Stand Up Paddleboarding,2024-07-22 17:51:17,false,"Santa Barbara Stand Up Paddleboarding","7.30","892","01:33:57","157","187","5.0","12:52","6:50","0.0","3728","59.0","No","00:06:39.3","8","75.2","01:09:30","01:33:57"
Stand Up Paddleboarding,2024-07-20 07:36:44,false,"Santa Barbara Stand Up Paddleboarding","2.59","323","00:37:38","145","186","3.1","14:32","1:49","0.0","1002","62.6","No","00:10:52","3","77.0","00:20:17","00:55:14"
Stand Up Paddleboarding,2024-07-09 17:43:57,false,"Santa Barbara Stand Up Paddleboarding","4.13","466","01:07:30","132","174","2.6","16:21","9:07","0.0","1995","69.8","No","00:02:48.4","5","77.0","00:48:12","01:07:30"
Stand Up Paddleboarding,2024-07-03 17:43:48,false,"Santa Barbara Stand Up Paddleboarding","6.75","700","01:19:19","152","182","4.3","11:45","7:24","0.0","3160","64.4","No","00:10:01","7","78.8","00:58:57","01:21:27"
Stand Up Paddleboarding,2024-07-02 17:29:13,false,"Oc1 w/ Shelby :)","3.92","471","01:05:37","136","170","2.7","16:44","10:03","0.0","2156","68.0","No","00:15:48","4","77.0","00:50:53","01:05:37"
Stand Up Paddleboarding,2024-07-01 17:51:32,false,"Santa Barbara Stand Up Paddleboarding","6.58","496","01:24:32","125","155","2.2","12:51","7:46","0.0","3285","60.8","No","00:10:49","7","75.2","01:15:30","01:24:32"
Stand Up Paddleboarding,2024-06-29 09:03:25,false,"Santa Barbara Stand Up Paddleboarding","11.22","982","02:04:41","148","186","3.7","11:07","7:28","0.0","5005","62.6","No","00:04:24.5","12","73.4","01:33:01","02:04:41"
Stand Up Paddleboarding,2024-06-26 17:49:13,false,"Santa Barbara Stand Up Paddleboarding","8.81","785","01:56:21","134","186","2.7","13:12","8:12","0.0","3797","66.2","No","00:10:46","9","75.2","01:17:43","01:56:21"
Stand Up Paddleboarding,2024-06-22 10:45:25,false,"Stand Up Paddleboarding","10.24","1,145","01:39:51","170","183","5.0","9:45","7:09","0.0","5056","64.4","No","00:03:39.1","11","73.4","01:20:17","01:39:51"
Stand Up Paddleboarding,2024-06-22 10:16:59,false,"San Diego Stand Up Paddleboarding","1.69","199","00:22:37","137","161","2.3","13:25","3:14","0.0","806","66.2","No","00:08:06.6","2","78.8","00:14:37","00:23:01"
