record_id,year,place,canoe,club,division,gender,boat_type,age_category,club_raw,division_raw,canoe_raw,finish_time_raw,finish_time_clean,raw_finish_seconds,finish_time,start_adjustment_seconds,start_adjustment_minutes,adjusted_finish_seconds,adjusted_finish_time,is_dq,dq_time_text,is_santa_barbara,race_field_size,race_finish_count,race_unlimited_count,race_spec_count,race_unlimited_share,division_field_size,division_finish_count,performance_percentile
402,2010,1,116,Lanakila Outrigger Canoe Club,women - spec,Women,Spec,Open,Lanakila,Women - Spec,116,4:26:52,4:26:52,16012,4:26:52,0,0,16012,4:26:52,FALSE,,FALSE,65,65,0,15,0,15,15,1
403,2010,2,6,Hanohano Outrigger Canoe Club,women - spec,Women,Spec,Open,Hanohano,Women - Spec,6,4:30:39,4:30:39,16239,4:30:39,0,0,16239,4:30:39,FALSE,,FALSE,65,65,0,15,0,15,15,0.9285714285714286
404,2010,3,135,Marina del Rey Outrigger Canoe Club,women - spec,Women,Spec,Open,Marina,Women - Spec,135,4:32:06,4:32:06,16326,4:32:06,0,0,16326,4:32:06,FALSE,,FALSE,65,65,0,15,0,15,15,0.8571428571428572
405,2010,4,118,Outrigger Canoe Club,women - spec,Women,Spec,Open,Outrigger Canoe Club,Women - Spec,118,4:33:32,4:33:32,16412,4:33:32,0,0,16412,4:33:32,FALSE,,FALSE,65,65,0,15,0,15,15,0.7857142857142857
406,2010,5,27,Imua Outrigger Canoe Club,women - masters,Women,Other,Masters,Imua,Women - Masters,27,4:35:57,4:35:57,16557,4:35:57,0,0,16557,4:35:57,FALSE,,FALSE,65,65,0,15,0,5,5,1
407,2010,6,300,Newport Aquatic Center (NAC),co-ed - open,Co-Ed,Other,Open,NAC,Co-Ed - Open,300,4:43:24,4:43:24,17004,4:43:24,-1200,-20,15804,4:23:24,FALSE,,FALSE,65,65,0,15,0,25,25,1
408,2010,7,104,Lanakila Outrigger Canoe Club,women - bradley,Women,Other,Open,Lanakila,Women - Bradley,104,4:43:49,4:43:49,17029,4:43:49,0,0,17029,4:43:49,FALSE,,FALSE,65,65,0,15,0,14,14,1
409,2010,8,28,Oceanside Outrigger Canoe Club,women - bradley,Women,Other,Open,Oceanside,Women - Bradley,28,4:48:05,4:48:05,17285,4:48:05,0,0,17285,4:48:05,FALSE,,FALSE,65,65,0,15,0,14,14,0.9230769230769231
410,2010,9,2,Hanohano Outrigger Canoe Club,women - bradley,Women,Other,Open,Hanohano,Women - Bradley,2,4:48:14,4:48:14,17294,4:48:14,0,0,17294,4:48:14,FALSE,,FALSE,65,65,0,15,0,14,14,0.8461538461538461
411,2010,10,213,Kupa'a Mau,co-ed - open,Co-Ed,Other,Open,Kupa'a Mau,Co-Ed - Open,213,4:49:50,4:49:50,17390,4:49:50,-1200,-20,16190,4:29:50,FALSE,,FALSE,65,65,0,15,0,25,25,0.9583333333333334
412,2010,11,141,Santa Barbara Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Santa Barbara,Co-Ed - Open,141,4:50:58,4:50:58,17458,4:50:58,-1200,-20,16258,4:30:58,FALSE,,TRUE,65,65,0,15,0,25,25,0.9166666666666666
413,2010,12,107,Kai Elua Outrigger Canoe Club,women - bradley,Women,Other,Open,Kai Elua,Women - Bradley,107,4:52:39,4:52:39,17559,4:52:39,0,0,17559,4:52:39,FALSE,,FALSE,65,65,0,15,0,14,14,0.7692307692307692
414,2010,13,333,Newport Aquatic Center (NAC),women - masters,Women,Other,Masters,NAC,Women - Masters,333,4:52:54,4:52:54,17574,4:52:54,0,0,17574,4:52:54,FALSE,,FALSE,65,65,0,15,0,5,5,0.75
415,2010,14,126,Ka Nai'a Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Ka Nai A,Co-Ed - Open,126,4:53:07,4:53:07,17587,4:53:07,-1200,-20,16387,4:33:07,FALSE,,FALSE,65,65,0,15,0,25,25,0.875
416,2010,15,33x,Hui Wa'a Outrigger Canoe Club,women - masters,Women,Other,Masters,Hui Wa'a Outrigger Canoe Club,Women - Masters,33x,4:55:44,4:55:44,17744,4:55:44,0,0,17744,4:55:44,FALSE,,FALSE,65,65,0,15,0,5,5,0.5
417,2010,16,133,Marina del Rey Outrigger Canoe Club,women - bradley,Women,Other,Open,Marina,Women - Bradley,133,4:57:32,4:57:32,17852,4:57:32,0,0,17852,4:57:32,FALSE,,FALSE,65,65,0,15,0,14,14,0.6923076923076923
418,2010,17,V2,Vancouver Ocean Sports,co-ed - open,Co-Ed,Other,Open,Vancouver Ocean Sports,Co-Ed - Open,V2,4:58:07,4:58:07,17887,4:58:07,-1200,-20,16687,4:38:07,FALSE,,FALSE,65,65,0,15,0,25,25,0.8333333333333334
419,2010,18,104x,Tamalpais,women - spec,Women,Spec,Open,Tamalpais,Women - Spec,104x,4:58:51,4:58:51,17931,4:58:51,0,0,17931,4:58:51,FALSE,,FALSE,65,65,0,15,0,15,15,0.7142857142857143
420,2010,19,42,Offshore Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Offshore,Co-Ed - Open,42,4:59:03,4:59:03,17943,4:59:03,-1200,-20,16743,4:39:03,FALSE,,FALSE,65,65,0,15,0,25,25,0.7916666666666666
421,2010,20,40,Lanakila Outrigger Canoe Club,women - bradley,Women,Other,Open,Lanakila,Women - Bradley,40,5:00:12,5:00:12,18012,5:00:12,0,0,18012,5:00:12,FALSE,,FALSE,65,65,0,15,0,14,14,0.6153846153846154
422,2010,21,66,San Diego Outrigger Canoe Club,women - bradley,Women,Other,Open,San Diego,Women - Bradley,66,5:01:55,5:01:55,18115,5:01:55,0,0,18115,5:01:55,FALSE,,FALSE,65,65,0,15,0,14,14,0.5384615384615384
423,2010,22,301,Newport Aquatic Center (NAC),co-ed - open,Co-Ed,Other,Open,NAC,Co-Ed - Open,301,5:02:34,5:02:34,18154,5:02:34,-1200,-20,16954,4:42:34,FALSE,,FALSE,65,65,0,15,0,25,25,0.75
424,2010,23,29,Imua Outrigger Canoe Club,women - masters,Women,Other,Masters,Imua,Women - Masters,29,5:07:20,5:07:20,18440,5:07:20,0,0,18440,5:07:20,FALSE,,FALSE,65,65,0,15,0,5,5,0.25
425,2010,24,4,Dana Outrigger Canoe Club,women - bradley,Women,Other,Open,Dana,Women - Bradley,4,5:08:37,5:08:37,18517,5:08:37,0,0,18517,5:08:37,FALSE,,FALSE,65,65,0,15,0,14,14,0.46153846153846156
426,2010,25,46,Kahakai Outrigger Canoe Club,women - bradley,Women,Other,Open,Kahakai,Women - Bradley,46,5:08:57,5:08:57,18537,5:08:57,0,0,18537,5:08:57,FALSE,,FALSE,65,65,0,15,0,14,14,0.3846153846153846
427,2010,26,56x,San Francisco Outrigger Canoe Club,women - spec,Women,Spec,Open,San Francisco,Women - Spec,56x,5:09:10,5:09:10,18550,5:09:10,0,0,18550,5:09:10,FALSE,,FALSE,65,65,0,15,0,15,15,0.6428571428571428
428,2010,27,158,Pale Kai Outrigger Canoe Club,women - spec,Women,Spec,Open,Pale Kai,Women - Spec,158,5:10:37,5:10:37,18637,5:10:37,0,0,18637,5:10:37,FALSE,,FALSE,65,65,0,15,0,15,15,0.5714285714285714
429,2010,28,92,Dana Outrigger Canoe Club,women - senior masters,Women,Other,Senior Masters,Dana,Women - Senior Masters,92,5:12:14,5:12:14,18734,5:12:14,0,0,18734,5:12:14,FALSE,,FALSE,65,65,0,15,0,3,3,1
430,2010,29,200,Kai Elua Outrigger Canoe Club,women - senior masters,Women,Other,Senior Masters,Kai Elua,Women - Senior Masters,200,5:12:45,5:12:45,18765,5:12:45,0,0,18765,5:12:45,FALSE,,FALSE,65,65,0,15,0,3,3,0.5
431,2010,30,81,Offshore Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Offshore,Co-Ed - Open,81,5:13:16,5:13:16,18796,5:13:16,-1200,-20,17596,4:53:16,FALSE,,FALSE,65,65,0,15,0,25,25,0.7083333333333333
432,2010,31,5N,Hui Wa'a Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Hui Wa'a Outrigger Canoe Club,Co-Ed - Open,5N,5:15:11,5:15:11,18911,5:15:11,-1200,-20,17711,4:55:11,FALSE,,FALSE,65,65,0,15,0,25,25,0.6666666666666667
433,2010,32,31,Hokuloa,women - bradley,Women,Other,Open,Hokuloa,Women - Bradley,31,5:16:08,5:16:08,18968,5:16:08,0,0,18968,5:16:08,FALSE,,FALSE,65,65,0,15,0,14,14,0.3076923076923077
434,2010,33,140,Santa Barbara Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Santa Barbara,Co-Ed - Open,140,5:16:44,5:16:44,19004,5:16:44,-1200,-20,17804,4:56:44,FALSE,,TRUE,65,65,0,15,0,25,25,0.625
435,2010,34,16,Imua Outrigger Canoe Club,women - spec,Women,Spec,Open,Imua,Women - Spec,16,5:19:23,5:19:23,19163,5:19:23,0,0,19163,5:19:23,FALSE,,FALSE,65,65,0,15,0,15,15,0.5
436,2010,35,15,Kahakai Outrigger Canoe Club,women - bradley,Women,Other,Open,Kahakai,Women - Bradley,15,5:19:52,5:19:52,19192,5:19:52,0,0,19192,5:19:52,FALSE,,FALSE,65,65,0,15,0,14,14,0.23076923076923073
437,2010,36,132,Marina del Rey Outrigger Canoe Club,women - spec,Women,Spec,Open,Marina,Women - Spec,132,5:20:29,5:20:29,19229,5:20:29,0,0,19229,5:20:29,FALSE,,FALSE,65,65,0,15,0,15,15,0.4285714285714286
438,2010,37,169,Hanohano Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Hanohano,Co-Ed - Open,169,5:21:12,5:21:12,19272,5:21:12,-1200,-20,18072,5:01:12,FALSE,,FALSE,65,65,0,15,0,25,25,0.5833333333333333
439,2010,38,131,Marina del Rey Outrigger Canoe Club,women - spec,Women,Spec,Open,Marina,Women - Spec,131,5:22:14,5:22:14,19334,5:22:14,0,0,19334,5:22:14,FALSE,,FALSE,65,65,0,15,0,15,15,0.3571428571428571
440,2010,39,91,Kai Elua Outrigger Canoe Club,women - spec,Women,Spec,Open,Kai Elua,Women - Spec,91,5:22:19,5:22:19,19339,5:22:19,0,0,19339,5:22:19,FALSE,,FALSE,65,65,0,15,0,15,15,0.2857142857142857
441,2010,40,302,Columbia River,co-ed - open,Co-Ed,Other,Open,Columbia River,Co-Ed - Open,302,5:23:45,5:23:45,19425,5:23:45,-1200,-20,18225,5:03:45,FALSE,,FALSE,65,65,0,15,0,25,25,0.5416666666666667
442,2010,41,204,Ka Nai'a Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Ka Nai A,Co-Ed - Open,204,5:24:35,5:24:35,19475,5:24:35,-1200,-20,18275,5:04:35,FALSE,,FALSE,65,65,0,15,0,25,25,0.5
443,2010,42,19,Imua Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Imua,Co-Ed - Open,19,5:24:47,5:24:47,19487,5:24:47,-1200,-20,18287,5:04:47,FALSE,,FALSE,65,65,0,15,0,25,25,0.45833333333333337
444,2010,43,160,Oceanside Outrigger Canoe Club,women - golden masters,Women,Other,Golden Masters,Oceanside,Women - Golden Masters,160,5:25:08,5:25:08,19508,5:25:08,0,0,19508,5:25:08,FALSE,,FALSE,65,65,0,15,0,2,2,1
445,2010,44,41,Akau Hana,women - bradley,Women,Other,Open,Akau Hana,Women - Bradley,41,5:25:27,5:25:27,19527,5:25:27,0,0,19527,5:25:27,FALSE,,FALSE,65,65,0,15,0,14,14,0.15384615384615385
446,2010,45,193,Oxnard,women - bradley,Women,Other,Open,Oxnard,Women - Bradley,193,5:25:38,5:25:38,19538,5:25:38,0,0,19538,5:25:38,FALSE,,FALSE,65,65,0,15,0,14,14,0.07692307692307687
447,2010,46,118x,Ho'okahi Pu'uwai Outrigger Canoe Club,women - spec,Women,Spec,Open,Ho'okahi Pu'uwai,Women - Spec,118x,5:26:00,5:26:00,19560,5:26:00,0,0,19560,5:26:00,FALSE,,FALSE,65,65,0,15,0,15,15,0.2142857142857143
448,2010,47,33,Nahoa Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Nahoa,Co-Ed - Open,33,5:27:38,5:27:38,19658,5:27:38,-1200,-20,18458,5:07:38,FALSE,,FALSE,65,65,0,15,0,25,25,0.41666666666666663
449,2010,48,xx,Lanakila Outrigger Canoe Club,women - 19 & under,Women,Other,19 & Under,Lanakila,Women - 19 & Under,xx,5:27:54,5:27:54,19674,5:27:54,0,0,19674,5:27:54,FALSE,,FALSE,65,65,0,15,0,1,1,
450,2010,49,D7,Dana Outrigger Canoe Club,women - golden masters,Women,Other,Golden Masters,Dana,Women - Golden Masters,D7,5:28:07,5:28:07,19687,5:28:07,0,0,19687,5:28:07,FALSE,,FALSE,65,65,0,15,0,2,2,0
451,2010,50,5,Dana Outrigger Canoe Club,women - bradley,Women,Other,Open,Dana,Women - Bradley,5,5:28:16,5:28:16,19696,5:28:16,0,0,19696,5:28:16,FALSE,,FALSE,65,65,0,15,0,14,14,0
