Book Title,Author,Genre ,Category,Source,Book Start,Book Finish,Date,Start,Stop,Pages Read,Notes
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/1/2022,22:00,23:30,67,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/2/2022,23:30,23:52,7,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/4/2022,22:00,22:15,10,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/5/2022,22:00,22:37,30,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/7/2022,22:30,23:30,57,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/11/2022,22:02,22:53,46,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/13/2022,22:00,22:51,56,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/15/2022,10:15,12:40,85,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/16/2022,21:45,22:40,31,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/17/2022,22:30,23:17,49,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/18/2022,21:49,22:34,42,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/22/2022,15:30,15:50,26,
We Free the Stars,Hafsah Faizal,Fantasy,YA,Library book,1/1/2022,1/23/2022,1/23/2022,13:34,14:14,43,
Fable ,Adrienne Young,Fantasy,YA,Library book,1/27/2022,1/30/2022,1/27/2022,14:00,14:15,19,
Fable ,Adrienne Young,Fantasy,YA,Library book,1/27/2022,1/30/2022,1/29/2022,13:00,16:00,126,
Fable ,Adrienne Young,Fantasy,YA,Library book,1/27/2022,1/30/2022,1/30/2022,14:00,18:00,209,
